fpl_code,understat_id,fpl_name,understat_name
2,245,Leeds,Leeds
3,83,Arsenal,Arsenal
7,71,Aston Villa,Aston Villa
8,80,Chelsea,Chelsea
11,72,Everton,Everton
13,75,Leicester,Leicester
14,87,Liverpool,Liverpool
20,74,Southampton,Southampton
21,81,West Ham,West Ham
90,92,Burnley,Burnley
94,244,Brentford,Brentford
31,78,Crystal Palace,Crystal Palace
36,220,Brighton,Brighton
45,79,Norwich,Norwich
57,90,Watford,Watford
4,86,Newcastle,Newcastle United
43,88,Man City,Manchester City
1,89,Man Utd,Manchester United
39,229,Wolves,Wolverhampton Wanderers
6,82,Spurs,Tottenham
54,228,Fulham,Fulham
49,238,Sheffield Utd,Sheffield United
35,76,West Brom,West Bromwich Albion
91,73,Bournemouth,Bournemouth
97,227,Cardiff,Cardiff
38,219,Huddersfield,Huddersfield
80,84,Swansea,Swansea
110,85,Stoke,Stoke
56,77,Sunderland,Sunderland
25,93,Middlesbrough,Middlesbrough
88,91,Hull,Hull
17,249,Nott'm Forest,Nottingham Forest
102,256,Luton,Luton